class_name,excluded_image_path,matching_image_path,matching_split_or_pool,detection_method,distance,resolution
areeka,/Users/hetafalmazroa/Desktop/extra_images/areeka/areeka4.jpeg,/Users/hetafalmazroa/Desktop/Combined_dataset/MENA_selected_cleaned/training_exif/areeka/EXIF_areeka_547.jpg,train/validation pool,pHash,0,excluded duplicate candidate
baba-ghanoush,/Users/hetafalmazroa/Desktop/extra_images/baba-ghanoush/baba-ghanoush11.jpeg,/Users/hetafalmazroa/Desktop/Combined_dataset/MENA_selected_cleaned/training_exif/baba-ghanoush/EXIF_baba-ghanoush_109.jpg,train/validation pool,pHash,0,excluded duplicate candidate
baba-ghanoush,/Users/hetafalmazroa/Desktop/extra_images/baba-ghanoush/baba-ghanoush7.jpeg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/baba-ghanoush/EXIF_baba-ghanoush_14.jpg,test,pHash,2,excluded candidate; test preserved
baby_back_ribs,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/baby_back_ribs/3125728.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/baby_back_ribs/3124916.jpg,train/validation pool,pHash,0,excluded duplicate candidate
baby_back_ribs,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/baby_back_ribs/3265047.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/baby_back_ribs/3217591.jpg,train/validation pool,pHash,0,excluded duplicate candidate
baby_back_ribs,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/baby_back_ribs/620996.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/baby_back_ribs/620997.jpg,test,pHash,0,excluded candidate; test preserved
beef_carpaccio,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/beef_carpaccio/1769984.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/beef_carpaccio/1801501.jpg,test,pHash,0,excluded candidate; test preserved
beef_tartare,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/beef_tartare/2030970.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/beef_tartare/2030974.jpg,test,pHash,2,excluded candidate; test preserved
beet_salad,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/beet_salad/2595905.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/beet_salad/2671983.jpg,test,pHash,0,excluded candidate; test preserved
beet_salad,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/beet_salad/374126.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/beet_salad/239826.jpg,train/validation pool,pHash,0,excluded duplicate candidate
beignets,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/beignets/1997437.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/beignets/1996069.jpg,train/validation pool,pHash,0,excluded duplicate candidate
beignets,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/beignets/2706264.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/beignets/2701567.jpg,train/validation pool,pHash,0,excluded duplicate candidate
bibimbap,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/bibimbap/1792799.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/bibimbap/1600563.jpg,train/validation pool,pHash,2,excluded duplicate candidate
breakfast_burrito,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/breakfast_burrito/662423.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/breakfast_burrito/662420.jpg,train/validation pool,pHash,0,excluded duplicate candidate
breakfast_burrito,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/breakfast_burrito/662424.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/breakfast_burrito/662420.jpg,train/validation pool,pHash,0,excluded duplicate candidate
caesar_salad,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/caesar_salad/3627251.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/caesar_salad/3627235.jpg,train/validation pool,pHash,0,excluded duplicate candidate
cannoli,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/cannoli/1982944.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/cannoli/1980830.jpg,train/validation pool,pHash,2,excluded duplicate candidate
cannoli,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/cannoli/2295498.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/cannoli/2294363.jpg,train/validation pool,pHash,0,excluded duplicate candidate
caprese_salad,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/caprese_salad/763184.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/caprese_salad/763201.jpg,test,pHash,0,excluded candidate; test preserved
ceviche,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/ceviche/172529.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/ceviche/172523.jpg,test,pHash,0,excluded candidate; test preserved
ceviche,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/ceviche/2523261.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/ceviche/2450809.jpg,test,pHash,0,excluded candidate; test preserved
cheese_plate,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/cheese_plate/577991.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/cheese_plate/618425.jpg,test,pHash,0,excluded candidate; test preserved
chicken_quesadilla,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/chicken_quesadilla/1590716.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/chicken_quesadilla/1579819.jpg,train/validation pool,pHash,0,excluded duplicate candidate
chicken_quesadilla,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/chicken_quesadilla/3779974.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/chicken_quesadilla/3004094.jpg,test,pHash,2,excluded candidate; test preserved
chicken_wings,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/chicken_wings/834669.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/chicken_wings/820377.jpg,train/validation pool,pHash,0,excluded duplicate candidate
chocolate_cake,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/chocolate_cake/51717.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/chocolate_cake/49494.jpg,train/validation pool,pHash,0,excluded duplicate candidate
chocolate_cake,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/chocolate_cake/55122.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/chocolate_cake/49494.jpg,train/validation pool,pHash,0,excluded duplicate candidate
chocolate_mousse,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/chocolate_mousse/2673864.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/chocolate_mousse/1987819.jpg,train/validation pool,pHash,0,excluded duplicate candidate
churros,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/churros/2547960.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/churros/2617186.jpg,test,SHA-256,0,excluded candidate; test preserved
clam_chowder,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/clam_chowder/1783810.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/clam_chowder/1783836.jpg,test,pHash,0,excluded candidate; test preserved
crab_cakes,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/crab_cakes/20845.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/crab_cakes/20566.jpg,train/validation pool,pHash,0,excluded duplicate candidate
cup_cakes,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/cup_cakes/1082593.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/cup_cakes/1044152.jpg,train/validation pool,pHash,0,excluded duplicate candidate
deviled_eggs,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/deviled_eggs/1527126.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/deviled_eggs/1486281.jpg,train/validation pool,pHash,0,excluded duplicate candidate
deviled_eggs,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/deviled_eggs/1619934.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/deviled_eggs/1616632.jpg,test,pHash,0,excluded candidate; test preserved
deviled_eggs,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/deviled_eggs/2671994.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/deviled_eggs/2595914.jpg,train/validation pool,pHash,0,excluded duplicate candidate
deviled_eggs,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/deviled_eggs/3281495.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/deviled_eggs/3220239.jpg,train/validation pool,pHash,2,excluded duplicate candidate
donuts,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/donuts/1954438.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/donuts/1690052.jpg,train/validation pool,pHash,0,excluded duplicate candidate
donuts,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/donuts/2117632.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/donuts/2106964.jpg,train/validation pool,pHash,2,excluded duplicate candidate
dumplings,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/dumplings/180290.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/dumplings/167000.jpg,train/validation pool,SHA-256,0,excluded duplicate candidate
dumplings,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/dumplings/1872410.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/dumplings/1848359.jpg,train/validation pool,pHash,0,excluded duplicate candidate
edamame,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/edamame/1638436.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/edamame/1821106.jpg,test,pHash,0,excluded candidate; test preserved
edamame,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/edamame/1969958.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/edamame/1928733.jpg,train/validation pool,pHash,0,excluded duplicate candidate
escargots,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/escargots/1637284.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/escargots/1623641.jpg,test,pHash,0,excluded candidate; test preserved
falafel,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/falafel/295629.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/falafel/243177.jpg,train/validation pool,pHash,0,excluded duplicate candidate
falafel,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/falafel/3882357.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/falafel/3572759.jpg,train/validation pool,pHash,0,excluded duplicate candidate
foie_gras,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/foie_gras/1721540.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/foie_gras/1721369.jpg,train/validation pool,pHash,0,excluded duplicate candidate
foie_gras,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/foie_gras/21278.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/foie_gras/11934.jpg,train/validation pool,pHash,2,excluded duplicate candidate
foie_gras,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/foie_gras/2870358.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/foie_gras/1577695.jpg,train/validation pool,pHash,2,excluded duplicate candidate
foie_gras,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/foie_gras/79314.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/foie_gras/71471.jpg,train/validation pool,pHash,0,excluded duplicate candidate
french_onion_soup,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/french_onion_soup/1103647.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/french_onion_soup/1103636.jpg,train/validation pool,pHash,0,excluded duplicate candidate
french_onion_soup,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/french_onion_soup/1741875.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/french_onion_soup/1741871.jpg,test,pHash,0,excluded candidate; test preserved
french_onion_soup,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/french_onion_soup/3523026.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/french_onion_soup/3488762.jpg,train/validation pool,pHash,2,excluded duplicate candidate
french_toast,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/french_toast/3688678.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/french_toast/2863470.jpg,train/validation pool,pHash,2,excluded duplicate candidate
fried_calamari,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/fried_calamari/1995530.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/fried_calamari/1226078.jpg,train/validation pool,pHash,0,excluded duplicate candidate
fried_calamari,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/fried_calamari/881518.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/fried_calamari/835953.jpg,test,pHash,0,excluded candidate; test preserved
fried_calamari,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/fried_calamari/95861.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/fried_calamari/42205.jpg,test,pHash,0,excluded candidate; test preserved
fried_rice,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/fried_rice/2899815.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/fried_rice/2820757.jpg,train/validation pool,pHash,0,excluded duplicate candidate
garlic_bread,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/garlic_bread/2028072.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/garlic_bread/2028045.jpg,train/validation pool,pHash,0,excluded duplicate candidate
gnocchi,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/gnocchi/1361375.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/gnocchi/1361278.jpg,train/validation pool,pHash,0,excluded duplicate candidate
gnocchi,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/gnocchi/1706909.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/gnocchi/1706892.jpg,train/validation pool,pHash,0,excluded duplicate candidate
gnocchi,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/gnocchi/2614187.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/gnocchi/2602894.jpg,test,pHash,2,excluded candidate; test preserved
greek_salad,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/greek_salad/862426.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/greek_salad/857079.jpg,train/validation pool,pHash,0,excluded duplicate candidate
grilled_salmon,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/grilled_salmon/1574235.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/grilled_salmon/1574226.jpg,train/validation pool,pHash,0,excluded duplicate candidate
grilled_salmon,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/grilled_salmon/2684.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/grilled_salmon/18863.jpg,train/validation pool,pHash,0,excluded duplicate candidate
grilled_salmon,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/grilled_salmon/606368.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/grilled_salmon/599021.jpg,test,pHash,0,excluded candidate; test preserved
grilled_salmon,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/grilled_salmon/793308.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/grilled_salmon/793302.jpg,train/validation pool,pHash,2,excluded duplicate candidate
hamburger,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/hamburger/3783650.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/hamburger/3578279.jpg,train/validation pool,SHA-256,0,excluded duplicate candidate
hot_dog,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/hot_dog/1051643.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/hot_dog/1051628.jpg,train/validation pool,pHash,0,excluded duplicate candidate
hot_dog,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/hot_dog/3497633.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/hot_dog/1335350.jpg,train/validation pool,pHash,2,excluded duplicate candidate
hot_dog,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/hot_dog/410713.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/hot_dog/413426.jpg,test,pHash,0,excluded candidate; test preserved
huevos_rancheros,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/huevos_rancheros/244771.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/huevos_rancheros/244261.jpg,train/validation pool,pHash,0,excluded duplicate candidate
hummus,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/hummus/622847.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/hummus/620711.jpg,train/validation pool,pHash,0,excluded duplicate candidate
kebab,/Users/hetafalmazroa/Desktop/Arabic_Food101/Arabic Food 101 V3/Images/kebab/Download-Locationكباب (106).png,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/kebab/Download-Locationكباب (97).png,test,pHash,2,excluded candidate; test preserved
lasagna,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/lasagna/1737120.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/lasagna/1729580.jpg,train/validation pool,pHash,0,excluded duplicate candidate
lasagna,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/lasagna/2399575.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/lasagna/2399534.jpg,train/validation pool,pHash,0,excluded duplicate candidate
lasagna,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/lasagna/499859.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/lasagna/499765.jpg,test,pHash,0,excluded candidate; test preserved
lobster_roll_sandwich,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/lobster_roll_sandwich/314242.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/lobster_roll_sandwich/314216.jpg,train/validation pool,pHash,0,excluded duplicate candidate
lobster_roll_sandwich,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/lobster_roll_sandwich/342544.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/lobster_roll_sandwich/1051669.jpg,train/validation pool,pHash,0,excluded duplicate candidate
lobster_roll_sandwich,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/lobster_roll_sandwich/667218.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/lobster_roll_sandwich/667224.jpg,test,pHash,0,excluded candidate; test preserved
macarons,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/macarons/548938.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/macarons/548231.jpg,test,pHash,0,excluded candidate; test preserved
mussels,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/mussels/3238774.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/mussels/3139903.jpg,train/validation pool,pHash,0,excluded duplicate candidate
nachos,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/nachos/814617.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/nachos/814609.jpg,train/validation pool,pHash,0,excluded duplicate candidate
omelette,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/omelette/1748616.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/omelette/1600856.jpg,test,pHash,0,excluded candidate; test preserved
omelette,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/omelette/534879.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/omelette/532639.jpg,train/validation pool,pHash,0,excluded duplicate candidate
onion_rings,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/onion_rings/2093352.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/onion_rings/2093337.jpg,train/validation pool,pHash,0,excluded duplicate candidate
pad_thai,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/pad_thai/1843188.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/pad_thai/1588419.jpg,test,pHash,0,excluded candidate; test preserved
paella,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/paella/2199941.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/paella/2199939.jpg,test,SHA-256,0,excluded candidate; test preserved
paella,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/paella/2843371.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/paella/2782908.jpg,test,pHash,0,excluded candidate; test preserved
paella,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/paella/3468319.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/paella/3457757.jpg,train/validation pool,pHash,0,excluded duplicate candidate
pancakes,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/pancakes/85516.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/pancakes/92527.jpg,test,pHash,0,excluded candidate; test preserved
panna_cotta,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/panna_cotta/1565927.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/panna_cotta/1566367.jpg,test,pHash,0,excluded candidate; test preserved
panna_cotta,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/panna_cotta/3011399.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/panna_cotta/2995960.jpg,test,pHash,0,excluded candidate; test preserved
pho,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/pho/51112.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/pho/4787.jpg,train/validation pool,SHA-256,0,excluded duplicate candidate
pho,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/pho/651427.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/pho/51122.jpg,train/validation pool,SHA-256,0,excluded duplicate candidate
pizza,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/pizza/1576248.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/pizza/1088332.jpg,train/validation pool,pHash,0,excluded duplicate candidate
prime_rib,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/1866825.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/1852556.jpg,train/validation pool,pHash,2,excluded duplicate candidate
prime_rib,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/282995.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/282983.jpg,train/validation pool,pHash,0,excluded duplicate candidate
prime_rib,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/3275771.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/3248850.jpg,train/validation pool,pHash,0,excluded duplicate candidate
prime_rib,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/335176.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/335147.jpg,train/validation pool,pHash,0,excluded duplicate candidate
prime_rib,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/478971.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/478968.jpg,train/validation pool,pHash,0,excluded duplicate candidate
prime_rib,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/66533.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/prime_rib/71719.jpg,test,pHash,0,excluded candidate; test preserved
